name,address,city,state,zip,country,phone,lat,lng,url
"Highland Park Health Center","5903 N. Figueroa Street","Los Angeles","CA","90042","US","626-798-0706","34.1109336","-118.1908594","https://www.plannedparenthood.org/health-center/california/los-angeles/90042/highland-park-health-center-3695-90090"
"Anchorage Health Center","4001 Lake Otis Parkway #101","Anchorage","AK","99508","US","800-769-0045","61.184145","-149.83708679999998","https://www.plannedparenthood.org/health-center/alaska/anchorage/99508/anchorage-health-center-3254-91810"
"Marysville Health Center","10210 State Ave.","Marysville","WA","98271","US","800-769-0045","48.0878649","-122.17406459999998","https://www.plannedparenthood.org/health-center/washington/marysville/98271/marysville-health-center-2457-91810"
"Colorado Springs Westside","3480 Centennial Blvd.","Colorado Springs","CO","80907","US","719-475-7162","38.8808944","-104.8489479","https://www.plannedparenthood.org/health-center/colorado/colorado-springs/80907/colorado-springs-westside-3967-90210"
"Jacksonville Health Center","5978 Powers Avenue","Jacksonville","FL","32217","US","904-399-2800","30.2623939","-81.621769","https://www.plannedparenthood.org/health-center/florida/jacksonville/32217/jacksonville-health-center-3278-90320"
"Hamilton Health Center","201 N Hamilton Street","Richmond","VA","23221","US","804-355-4358","37.5595524","-77.4903742","https://www.plannedparenthood.org/health-center/virginia/richmond/23221/hamilton-health-center-3913-91750"
"Greensboro Health Center","1704 Battleground Ave","Greensboro","NC","27408","US","336-373-0678","36.091755","-79.812635","https://www.plannedparenthood.org/health-center/north-carolina/greensboro/27408/greensboro-health-center-2846-90860"
"Fairview Heights Health Center","317 Salem Place","Fairview Heights","IL","62208","US","618-277-6668","38.5677485","-89.9883642","https://www.plannedparenthood.org/health-center/illinois/fairview-heights/62208/fairview-heights-health-center-2712-90770"
"Fort Collins","825 South Shields St","Fort Collins","CO","80521","US","970-493-0281","40.5753904","-105.0964745","https://www.plannedparenthood.org/health-center/colorado/fort-collins/80521/fort-collins-4087-90210"
"Nashville Health Center","412 Dr. D.B. Todd, Jr. Blvd.","Nashville","TN","37203","US","866-711-1717","36.1589462","-86.8004511","https://www.plannedparenthood.org/health-center/tennessee/nashville/37203/nashville-health-center-2716-91550"
"Warren Health Center","29350 Van Dyke Ave.","Warren","MI","48093","US","586-558-0101","42.5094103","-83.0281111","https://www.plannedparenthood.org/health-center/michigan/warren/48093/warren-health-center-3834-90630"
"Memphis Health Center - Midtown","2430 Poplar Avenue","Memphis","TN","38112","US","866-711-1717","35.1396544","-89.9796874","https://www.plannedparenthood.org/health-center/tennessee/memphis/38112/memphis-health-center-midtown-3348-91550"
"Knoxville Health Center","710 North Cherry St.","Knoxville","TN","37914","US","866-711-1717","35.990034","-83.896792","https://www.plannedparenthood.org/health-center/tennessee/knoxville/37914/knoxville-health-center-2610-91550"
"Ferndale Health Center","23338 Woodward Ave.","Ferndale","MI","48220","US","248-399-5900","42.4656285","-83.13744359999998","https://www.plannedparenthood.org/health-center/michigan/ferndale/48220/ferndale-health-center-4053-90630"
"Detroit Health Center","4229 Cass Ave.","Detroit","MI","48201","US","313-831-7776","42.3508769","-83.0639943","https://www.plannedparenthood.org/health-center/michigan/detroit/48201/detroit-health-center-2890-90630"
"Lansing Health Center","300 N. Clippert, Ste. 6","Lansing","MI","48912","US","517-351-0550","42.7363847","-84.5074701","https://www.plannedparenthood.org/health-center/michigan/lansing/48912/lansing-health-center-2785-90630"
"Livonia Health Center","15707 Farmington Road","Livonia","MI","48154","US","734-591-6544","42.4010711","-83.37426879999998","https://www.plannedparenthood.org/health-center/michigan/livonia/48154/livonia-health-center-2677-90630"
"Marquette Health Center","1219 N. Third St.","Marquette","MI","49855","US","906-225-5070","46.5553827","-87.3950521","https://www.plannedparenthood.org/health-center/michigan/marquette/49855/marquette-health-center-2605-90630"
"Walker Health Center","1135 E. Eighth St.","Traverse City","MI","49686","US","231-929-1844","44.7589099","-85.59318499999999","https://www.plannedparenthood.org/health-center/michigan/traverse-city/49686/walker-health-center-3297-90630"
"Ann Arbor East Health Center","3100 Professional Drive","Ann Arbor","MI","48104","US","734-973-0710","42.2552684","-83.6991451","https://www.plannedparenthood.org/health-center/michigan/ann-arbor/48104/ann-arbor-east-health-center-3296-90630"
"East Columbus Surgical Center","3255 East Main Street","Columbus","OH","43213","US","614-222-3531","39.956195","-82.911226","https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230"
"Carol Whitehill Moses Center","1225 4th St. NE","Washington","DC","20002","US","202-347-8512","38.9052763","-76.9815877","https://www.plannedparenthood.org/health-center/district-of-columbia/washington/20002/carol-whitehill-moses-center-4221-90230"
"Yakima Health Center","1117 Tieton Dr.","Yakima","WA","98902","US","866-904-7721","46.5930574","-120.5239548","https://www.plannedparenthood.org/health-center/washington/yakima/98902/yakima-health-center-3311-91850"
"Milwaukee-Wisconsin Avenue Health Center","2207 W. Wisconsin Ave","Milwaukee","WI","53233","US","414-931-8181","43.0383706","-87.9408142","https://www.plannedparenthood.org/health-center/wisconsin/milwaukee/53233/milwaukee-wisconsin-avenue-health-center-2819-91860"
"San Ramon Health Center","200 Porter Drive, Suite 200","San Ramon","CA","94583","US","925-838-2108","37.7737543","-121.9905091","https://www.plannedparenthood.org/health-center/california/san-ramon/94583/san-ramon-health-center-2572-90200"
"Canton Health Center","2663 Cleveland Ave NW","Canton","OH","44709","US","330-456-7191","40.827475","-81.386004","https://www.plannedparenthood.org/health-center/ohio/canton/44709/canton-health-center-2464-91230"
"Old Brooklyn Health Center","2186 Brookpark Road","Cleveland","OH","44134","US","216-661-0400","41.419777","-81.696819","https://www.plannedparenthood.org/health-center/ohio/cleveland/44134/old-brooklyn-health-center-2508-91230"
"Moorhead Health Center","803 Belsly Boulevard","Moorhead","MN","56560","US","218-236-7145","46.83906499999999","-96.767028","https://www.plannedparenthood.org/health-center/minnesota/moorhead/56560/moorhead-health-center-2932-90720"
"Planned Parenthood - Northeast","11514 Perrin Beitel Rd","San Antonio","TX","78217","US","210-590-0202","29.5450112","-98.41001590000002","https://www.plannedparenthood.org/health-center/texas/san-antonio/78217/planned-parenthood-northeast-2962-91710"
"Glendora Health Center","130 W Route 66","Glendora","CA","91740","US","626-798-0706","34.1281475","-117.8651493","https://www.plannedparenthood.org/health-center/california/glendora/91740/glendora-health-center-4070-90090"
"Prevention Park Health Center - Family Planning","4600 Gulf Freeway, Ste. 100, 1st Floor","Houston","TX","77023","US","713.522.3976","29.7256613","-95.3347957","https://www.plannedparenthood.org/health-center/texas/houston/77023/prevention-park-health-center-family-planning-2291-91650"
"West Health Center","3303 109th Street","Urbandale","IA","50322","US","877-811-7526","41.6185348","-93.7620225","https://www.plannedparenthood.org/health-center/iowa/urbandale/50322/west-health-center-2388-90380"
"Baton Rouge Health Center","3825 Government Street","Baton Rouge","LA","70806","US","225-387-1167","30.44439120000001","-91.1503009","https://www.plannedparenthood.org/health-center/louisiana/baton-rouge/70806/baton-rouge-health-center-4269-91650"
"Hollywood Health Center","1014 1/2 N Vermont Ave","Los Angeles","CA","90029","US","800-576-5544","34.0901681","-118.29124120000002","https://www.plannedparenthood.org/health-center/california/los-angeles/90029/hollywood-health-center-2466-90070"
"South Bay Health Center","14623 Hawthorne Blvd. #300","Lawndale","CA","90260","US","800-576-5544","33.898565","-118.352992","https://www.plannedparenthood.org/health-center/california/lawndale/90260/south-bay-health-center-2477-90070"
"B Street Health Center","201 29th Street, Ste. B","Sacramento","CA","95816","US","916-446-6921","38.581849","-121.463846","https://www.plannedparenthood.org/health-center/california/sacramento/95816/b-street-health-center-2200-90130"
"Family First Health Center","6095 N. 1st Street","Fresno","CA","93710","US","559-446-1515","36.8250467","-119.7739372","https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130"
"Mountain View Health Center","2500 California Street","Mountain View","CA","94040","US","650-948-0807","37.4033261","-122.10637429999996","https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130"
"Roseville Health Center","729 Sunrise Ave. Suite 900","Roseville","CA","95661","US","916-781-3310","38.7345328","-121.27039","https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130"
"Tracy Health Center","1441 N. Tracy Blvd.","Tracy","CA","95376","US","209-835-8910","37.744749500000005","-121.43534060000002","https://www.plannedparenthood.org/health-center/california/tracy/95376/tracy-health-center-3856-90130"
"Fruitridge Health Center","5385 Franklin Blvd., Suite A-D","Sacramento","CA","95820","US","916-452-7305","38.5262983","-121.4714167","https://www.plannedparenthood.org/health-center/california/sacramento/95820/fruitridge-health-center-2198-90130"
"Hayward Health Center","1032 A Street","Hayward","CA","94541","US","510-300-3800","37.6743552","-122.08319319999998","https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130"
"North Highlands Health Center","5700 Watt Ave.","North Highlands","CA","95660","US","916-332-5715","38.6705065","-121.3823727","https://www.plannedparenthood.org/health-center/california/north-highlands/95660/north-highlands-health-center-2201-90130"
"Bakersfield Health Center","2633 16th Street","Bakersfield","CA","93301","US","661-634-1000","35.3722089","-119.032749","https://www.plannedparenthood.org/health-center/california/bakersfield/93301/bakersfield-health-center-4028-90130"
"Seaside Health Center","625 Hilby Ave.","Seaside","CA","93955","US","831-394-1691","36.602711","-121.849637","https://www.plannedparenthood.org/health-center/california/seaside/93955/seaside-health-center-2233-90130"
"Redwood City Health Center","2907 El Camino Real","Redwood City","CA","94061","US","650-503-7810","37.4692778","-122.2112942","https://www.plannedparenthood.org/health-center/california/redwood-city/94061/redwood-city-health-center-4129-90130"
"Woodland Health Center","520 Cottonwood Street Suite 10","Woodland","CA","95695","US","530-662-4646","38.6750402","-121.7940825","https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130"
"Eastside Health Center","3131 Alum Rock Avenue","San Jose","CA","95127","US","408-729-7600","37.36654039999999","-121.8274443","https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130"
"Watsonville Health Center","398 South Green Valley Road","Watsonville","CA","95076","US","831-724-7525","36.9302704","-121.7763406","https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130"
"San Mateo Health Center","29 Baywood Ave","San Mateo","CA","94402","US","650-235-7940","37.5644933","-122.3286301","https://www.plannedparenthood.org/health-center/california/san-mateo/94402/san-mateo-health-center-4104-90130"
"Fifth Street Health Center","455 W. 5th Street","Reno","NV","89503","US","775-688-5555","39.5303082","-119.82068529999998","https://www.plannedparenthood.org/health-center/nevada/reno/89503/fifth-street-health-center-2262-90130"
"Madera Health Center","500 E. Almond Suite #1","Madera","CA","93637","US","559-675-1133","36.94521499999999","-120.051955","https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130"
"Yuba City Health Center","430 Palora Ave. #G","Yuba City","CA","95991","US","530-674-2603","39.128","-121.63351280000002","https://www.plannedparenthood.org/health-center/california/yuba-city/95991/yuba-city-health-center-2374-90130"
"Salinas Health Center","316 N. Main Street","Salinas","CA","93901","US","831-758-8261","36.682608","-121.652817","https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130"
"West Oakland Health Center","1682 7th Street","Oakland","CA","94607","US","510-300-3800","37.806631","-122.3004491","https://www.plannedparenthood.org/health-center/california/oakland/94607/west-oakland-health-center-4090-90130"
"Modesto Health Center","1431 McHenry Avenue, Suite 100","Modesto","CA","95350","US","209-579-2300","37.6648277","-120.994421","https://www.plannedparenthood.org/health-center/california/modesto/95350/modesto-health-center-2527-90130"
"Westside Health Center","1119 Pacific Ave. Suite 200","Santa Cruz","CA","95060","US","831-426-5550","36.9722299","-122.02599709999998","https://www.plannedparenthood.org/health-center/california/santa-cruz/95060/westside-health-center-2232-90130"
"San Jose Central Health Center","1691 The Alameda","San Jose","CA","95126","US","408-287-7526","37.3370444","-121.9196852","https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-central-health-center-3263-90130"
"East Oakland / Coliseum Health Center","8480 Enterprise Way","Oakland","CA","94621","US","510-746-4700","37.742396","-122.192324","https://www.plannedparenthood.org/health-center/california/oakland/94621/east-oakland-coliseum-health-center-4188-90130"
"Fulton Street Health Center","650 N. Fulton Street","Fresno","CA","93728","US","559-488-4900","36.7521179","-119.8001187","https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130"
"Blossom Hill Health Center","5440 Thornwood Drive","San Jose","CA","95123","US","408-281-9777","37.2538227","-121.86065050000002","https://www.plannedparenthood.org/health-center/california/san-jose/95123/blossom-hill-health-center-3230-90130"
"Eastland Plaza Health Center","678 N Wilson Way #G","Stockton","CA","95205","US","209-466-2081","37.963225","-121.27171300000002","https://www.plannedparenthood.org/health-center/california/stockton/95205/eastland-plaza-health-center-2529-90130"
"Merced Health Center","3166 Collins Dr.","Merced","CA","95348","US","209-723-7751","37.3202696","-120.4756021","https://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130"
"Long Beach Health Center","2690 Pacific Avenue, Ste. 370","Long Beach","CA","90806","US","800-576-5544","33.805841","-118.193329","https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070"
"Bixby Health Center","1057 Kingston Avenue","Los Angeles","CA","90033","US","800-576-5544","34.0571698","-118.209793","https://www.plannedparenthood.org/health-center/california/los-angeles/90033/bixby-health-center-4289-90070"
"Compton Health Center","4402 East Compton Blvd Suite #104","Compton","CA","90221","US","800-576-5544","33.8961811","-118.19008329999996","https://www.plannedparenthood.org/health-center/california/compton/90221/compton-health-center-4290-90070"
"Carson Health Center","661 East University Drive","Carson","CA","90746","US","800-576-5544","33.859039","-118.265238","https://www.plannedparenthood.org/health-center/california/carson/90746/carson-health-center-4291-90070"
"Spokane Health Center","123 E. Indiana Ave.","Spokane","WA","99207","US","866-904-7721","47.6752925","-117.4083817","https://www.plannedparenthood.org/health-center/washington/spokane/99207/spokane-health-center-2794-91850"
"Kennewick Health Center","7426 W. Bonnie Pl.","Kennewick","WA","99336","US","866-904-7721","46.23150249999999","-119.2219639","https://www.plannedparenthood.org/health-center/washington/kennewick/99336/kennewick-health-center-2404-91850"
"Canton Center","9 Miner Street","Canton","NY","13617","US","315-386-8821","44.5948805","-75.1710391","https://www.plannedparenthood.org/health-center/new-york/canton/13617/canton-center-2881-91210"
"Wenatchee Health Center","900 Ferry St.","Wenatchee","WA","98801","US","866-904-7721","47.4116445","-120.3129595","https://www.plannedparenthood.org/health-center/washington/wenatchee/98801/wenatchee-health-center-4204-91850"
"Pullman Health Center","1525 SE King Drive","Pullman","WA","99163","US","866-904-7721","46.7159656","-117.1794474","https://www.plannedparenthood.org/health-center/washington/pullman/99163/pullman-health-center-2793-91850"
"Spokane Valley Health Center","12104 E. Main Ave.","Spokane Valley","WA","99206","US","866-904-7721","47.658663","-117.242058","https://www.plannedparenthood.org/health-center/washington/spokane-valley/99206/spokane-valley-health-center-2792-91850"
"Walla Walla Health Center","828 S. First Ave.","Walla Walla","WA","99362","US","866-904-7721","46.0566109","-118.331998","https://www.plannedparenthood.org/health-center/washington/walla-walla/99362/walla-walla-health-center-2405-91850"
"Saranac Lake Clinic","41 St. Bernard St.","Saranac Lake","NY","12983","US","518-891-0046","44.325235","-74.130258","https://www.plannedparenthood.org/health-center/new-york/saranac-lake/12983/saranac-lake-clinic-3428-91210"
"Central Oklahoma City Clinic","619 NW 23rd Street","Oklahoma City","OK","73103","US","405-528-2157","35.4935601","-97.5235988","https://www.plannedparenthood.org/health-center/oklahoma/oklahoma-city/73103/central-oklahoma-city-clinic-3351-90741"
"Northeast Heights","9809 Candelaria Road NE","Albuquerque","NM","87112","US","505-294-1577","35.1168805","-106.5308995","https://www.plannedparenthood.org/health-center/new-mexico/albuquerque/87112/northeast-heights-2803-90210"
"Malone Clinic","246 W. Main Street Suites 1 and 2","Malone","NY","12953","US","518-483-7150","44.848061","-74.305194","https://www.plannedparenthood.org/health-center/new-york/malone/12953/malone-clinic-2778-91210"
"Watertown Center","160 Stone Street","Watertown","NY","13601","US","315-788-8065","43.9743891","-75.9132797","https://www.plannedparenthood.org/health-center/new-york/watertown/13601/watertown-center-3328-91210"
"NE Portland Health Center","3727 NE Martin Luther King Jr. Boulevard","Portland","OR","97212","US","888-875-7820","45.5496971","-122.66179320000002","https://www.plannedparenthood.org/health-center/oregon/portland/97212/ne-portland-health-center-3943-91400"
"Grand Rapids Health Center","1404 NW 4th Street","Grand Rapids","MN","55744","US","218-326-6689","47.235425","-93.54984600000002","https://www.plannedparenthood.org/health-center/minnesota/grand-rapids/55744/grand-rapids-health-center-2931-90720"
"Plattsburgh Clinic","66 Brinkerhoff Street","Plattsburgh","NY","12901","US","518-561-4430","44.6970593","-73.4571666","https://www.plannedparenthood.org/health-center/new-york/plattsburgh/12901/plattsburgh-clinic-3315-91210"
"Greeley","3487B W 10th Street","Greeley","CO","80634","US","970-352-4762","40.4229096","-104.734421","https://www.plannedparenthood.org/health-center/colorado/greeley/80634/greeley-2173-90210"
"Vancouver Health Center","11516 SE Mill Plain Blvd","Vancouver","WA","98684","US","888-875-7820","45.6216974","-122.5535384","https://www.plannedparenthood.org/health-center/washington/vancouver/98684/vancouver-health-center-2455-91400"
"Durango","46 Suttle St","Durango","CO","81303","US","970-247-3002","37.2469649","-107.8760989","https://www.plannedparenthood.org/health-center/colorado/durango/81303/durango-2174-90210"
"Boulder","2525 Arapahoe Ave, Suite C-200","Boulder","CO","80302","US","303-447-1040","40.0156565","-105.2613585","https://www.plannedparenthood.org/health-center/colorado/boulder/80302/boulder-2488-90210"
"Steamboat Springs","111 11th Street Unit 102","Steamboat Springs","CO","80487","US","970-879-2212","40.488926600000006","-106.8369981","https://www.plannedparenthood.org/health-center/colorado/steamboat-springs/80487/steamboat-springs-2168-90210"
"Littleton","131 W County Line Rd","Littleton","CO","80129","US","303-798-0963","39.5674205","-104.9896599","https://www.plannedparenthood.org/health-center/colorado/littleton/80129/littleton-2485-90210"
"Comprehensive Health Center","4401 W 109th Street #100","Overland Park","KS","66211","US","913-345-1400","38.9310037","-94.6367454","https://www.plannedparenthood.org/health-center/kansas/overland-park/66211/comprehensive-health-center-2594-90741"
"Glenwood Springs","50923 Hwy 6 & 24","Glenwood Springs","CO","81601","US","970-945-8631","39.561967","-107.3651805","https://www.plannedparenthood.org/health-center/colorado/glenwood-springs/81601/glenwood-springs-2172-90210"
"Park Hill","7155 E 38th Ave","Denver","CO","80207","US","303-321-2458","39.7698183","-104.9049249","https://www.plannedparenthood.org/health-center/colorado/denver/80207/park-hill-3543-90210"
"Pittsburgh Abortion Services","933 Liberty Avenue","Pittsburgh","PA","15222","US","412-562-1900","40.4434897","-79.9968471","https://www.plannedparenthood.org/health-center/pennsylvania/pittsburgh/15222/pittsburgh-abortion-services-3359-91470"
"Irwin/Martin Health Center","425 Cherry St. SE","Grand Rapids","MI","49503","US","616-459-3101","42.9597078","-85.65810469999998","https://www.plannedparenthood.org/health-center/michigan/grand-rapids/49503/irwinmartin-health-center-3295-90630"
"Boise Health Center","3668 N. Harbor Lane","Boise","ID","83703","US","800-769-0045","43.65313499999999","-116.254842","https://www.plannedparenthood.org/health-center/idaho/boise/83703/boise-health-center-2939-91810"
"Chapel Hill Health Center","1765 Dobbins Drive","Chapel Hill","NC","27514","US","919-942-7762","35.94470489999999","-79.0140503","https://www.plannedparenthood.org/health-center/north-carolina/chapel-hill/27514/chapel-hill-health-center-4169-90860"
"Cortez","20 West North Street","Cortez","CO","81321","US","970-565-7011","37.34989899999999","-108.586285","https://www.plannedparenthood.org/health-center/colorado/cortez/81321/cortez-2169-90210"
"West Chester Surgical Center","8 S Wayne Street","West Chester","PA","19382","US","610-692-1770","39.9566465","-75.6103587","https://www.plannedparenthood.org/health-center/pennsylvania/west-chester/19382/west-chester-surgical-center-3918-91460"
"Meridian Health Center","2112 East Franklin Road","Meridian","ID","83642","US","800-769-0045","43.605411200000006","-116.3680233","https://www.plannedparenthood.org/health-center/idaho/meridian/83642/meridian-health-center-4105-91810"
"Far Northeast Surgical Center","2751 Comly Road","Philadelphia","PA","19154","US","215-464-2225","40.10393479999999","-75.000028","https://www.plannedparenthood.org/health-center/pennsylvania/philadelphia/19154/far-northeast-surgical-center-3441-91460"
"Planned Parenthood - South Texas Medical Center","2140 Babcock Rd","San Antonio","TX","78229","US","210-736-2262","29.5025638","-98.5824428","https://www.plannedparenthood.org/health-center/texas/san-antonio/78229/planned-parenthood-south-texas-medical-center-2967-91710"
